participant,autonomy,TLX,MDMT,perceived_autonomy,perceived_trust
P1,0.4,12.166666666666666,7.125,8,5
P1,0.0,13.833333333333334,3.875,6,3
P1,0.2,7.0,7.375,9,6
P1,0.6,5.666666666666667,8.0,8,8
P1,0.8,3.1666666666666665,7.75,9,9
P2,0.4,5.833333333333333,6.0,6,7
P2,0.6,5.833333333333333,7.0,9,9
P2,0.8,5.5,7.0,9,9
P2,0.0,5.0,4.375,5,4
P2,0.2,4.5,5.5,6,6
P3,0.4,11.5,6.25,1,10
P3,0.0,10.333333333333334,6.875,1,10
P3,0.2,9.0,7.0,1,10
P3,0.6,8.333333333333334,7.875,6,10
P3,0.8,5.666666666666667,8.0,7,10
P4,0.4,7.5,7.375,9,8
P4,0.6,6.166666666666667,7.5,9,8
P4,0.8,8.166666666666666,7.625,8,8
P4,0.0,9.5,6.375,7,10
P4,0.2,7.333333333333333,7.25,8,7
P5,0.4,1.6666666666666667,1.0,9,3
P5,0.0,1.6666666666666667,1.0,1,1
P5,0.2,2.0,1.0,1,1
P5,0.6,3.3333333333333335,6.0,9,7
P5,0.8,3.0,7.0,6,9
P6,0.4,12.833333333333334,1.5,1,1
P6,0.6,10.166666666666666,3.125,3,3
P6,0.8,7.833333333333333,5.625,6,5
P6,0.0,12.833333333333334,5.0,1,1
P6,0.2,10.5,3.0,4,3
P7,0.4,8.0,4.375,3,1
P7,0.0,8.666666666666666,4.125,4,4
P7,0.2,7.0,4.75,7,5
P7,0.6,6.333333333333333,5.75,8,6
P7,0.8,6.0,6.5,9,7
P8,0.4,5.0,8.0,1,8
P8,0.6,3.8333333333333335,8.0,1,9
P8,0.8,3.0,8.0,1,9
P8,0.0,3.3333333333333335,8.0,1,9
P8,0.2,3.5,8.0,1,9
P9,0.4,2.8333333333333335,7.25,3,10
P9,0.0,5.166666666666667,6.125,7,5
P9,0.2,4.166666666666667,5.125,3,6
P9,0.6,4.333333333333333,6.625,9,10
P9,0.8,4.166666666666667,7.25,7,8
P10,0.4,9.833333333333334,4.25,3,3
P10,0.6,5.833333333333333,6.0,7,6
P10,0.8,6.333333333333333,6.875,8,7
P10,0.0,11.333333333333334,3.375,4,3
P10,0.2,6.333333333333333,5.75,6,6
P11,0.4,6.166666666666667,4.75,5,4
P11,0.0,8.833333333333334,3.375,3,3
P11,0.2,8.666666666666666,5.0,6,5
P11,0.6,7.333333333333333,6.625,8,7
P11,0.8,7.833333333333333,6.5,8,7
P12,0.4,3.6666666666666665,4.125,5,5
P12,0.6,3.0,6.0,7,8
P12,0.8,2.8333333333333335,6.0,7,7
P12,0.0,2.5,2.125,1,1
P12,0.2,2.1666666666666665,3.0,2,1
P13,0.4,5.166666666666667,6.0,5,6
P13,0.0,5.333333333333333,3.375,2,3
P13,0.2,5.5,4.5,3,4
P13,0.6,5.833333333333333,5.5,6,6
P13,0.8,5.666666666666667,7.0,8,8
P14,0.4,8.0,6.0,5,4
P14,0.6,7.5,7.0,7,8
P14,0.8,6.833333333333333,7.625,9,8
P14,0.0,10.333333333333334,2.875,2,2
P14,0.2,7.5,5.75,6,5
P15,0.4,5.166666666666667,5.5,3,4
P15,0.0,6.833333333333333,4.125,3,3
P15,0.2,5.0,5.875,5,5
P15,0.6,4.833333333333333,6.75,7,6
P15,0.8,3.8333333333333335,7.5,8,7
P16,0.4,5.333333333333333,5.75,6,6
P16,0.6,3.8333333333333335,7.625,8,9
P16,0.8,3.3333333333333335,7.875,9,8
P16,0.0,5.833333333333333,3.375,2,3
P16,0.2,4.0,5.125,7,6
P17,0.4,7.5,6.375,3,10
P17,0.0,7.666666666666667,6.25,5,8
P17,0.2,8.666666666666666,4.875,6,7
P17,0.6,7.5,6.0,9,9
P17,0.8,6.833333333333333,7.125,10,9
P18,0.4,11.666666666666666,3.75,2,3
P18,0.6,7.166666666666667,5.875,7,7
P18,0.8,8.833333333333334,6.75,8,8
P18,0.0,9.166666666666666,5.75,2,3
P18,0.2,9.0,5.0,4,5
P19,0.4,8.166666666666666,5.625,2,4
P19,0.0,8.666666666666666,6.0,4,4
P19,0.2,7.166666666666667,6.25,5,4
P19,0.6,6.5,6.375,6,3
P19,0.8,5.166666666666667,7.125,8,4
P20,0.4,6.666666666666667,2.5,1,1
P20,0.6,6.833333333333333,2.75,3,3
P20,0.8,6.0,3.625,4,3
P20,0.0,8.0,1.625,1,1
P20,0.2,7.5,2.625,3,3
P21,0.4,6.833333333333333,4.875,4,3
P21,0.0,5.333333333333333,4.375,2,3
P21,0.2,6.166666666666667,5.125,6,5
P21,0.6,6.5,7.0,7,7
P21,0.8,6.166666666666667,7.5,9,10
P22,0.4,10.5,5.0,5,7
P22,0.6,6.666666666666667,5.25,3,6
P22,0.8,4.333333333333333,6.375,9,9
P22,0.0,6.5,5.125,7,6
P22,0.2,7.333333333333333,4.75,7,6
P23,0.4,13.833333333333334,5.75,7,4
P23,0.0,9.166666666666666,5.375,6,6
P23,0.2,7.0,5.625,7,6
P23,0.6,3.6666666666666665,6.875,10,9
P23,0.8,5.0,6.625,8,8
P24,0.4,4.5,1.75,2,1
P24,0.6,3.8333333333333335,2.125,3,1
P24,0.8,3.8333333333333335,2.375,2,1
P24,0.0,3.3333333333333335,2.125,1,1
P24,0.2,3.1666666666666665,3.0,1,1
