pid,trust_tech,play_games,play_music,order,autonomy,auto_grouped,tapping_err_short,tapping_err_long,tapping_err_ave
1,7,7,1,inc,0.4,low,3.1827259063720703,-0.681571960449219,1.0478321272500013
1,7,7,1,inc,0.0,low,-3.115845421950007,-3.1439630107747267,-3.1802782717499998
1,7,7,1,inc,0.2,low,4.6449032425880326,10.739345724384018,7.3691059789999995
1,7,7,1,inc,0.6,high,-1.3648155331611556,1.9959724722085037,0.2861981662499993
1,7,7,1,inc,0.8,high,4.7348396645651905,10.37364582220715,7.354606907749999
2,6,2,1,dec,0.4,low,-5.837513854106276,3.2609739899635626,-1.8278318790000014
2,6,2,1,dec,0.6,high,-3.7855513890584107,5.660797641785079,0.19319922024999947
2,6,2,1,dec,0.8,high,3.0307549238204863,8.904729866319233,5.641410454249999
2,6,2,1,dec,0.0,low,4.565791587034877,4.967360446850457,4.684993782500001
2,6,2,1,dec,0.2,low,-2.715158462524414,7.788607478141784,1.9531819544999998
3,6,1,2,inc,0.4,low,2.8053081035614014,2.17492593659295,2.441849611000001
3,6,1,2,inc,0.0,low,-10.99500030279161,-4.228759557008758,-7.9560615735
3,6,1,2,inc,0.2,low,3.969998682538654,3.3465552937101415,3.7353677437500012
3,6,1,2,inc,0.6,high,3.3172200785742763,3.6337860204555392,3.5297078575
3,6,1,2,inc,0.8,high,0.9252238273620241,2.6937278360128527,1.6958829877500001
4,6,6,3,dec,0.4,low,10.870967209339176,-4.326007929113184,4.518529255000002
4,6,6,3,dec,0.6,high,4.7386724750201275,-5.543715217047227,0.16872238925000183
4,6,6,3,dec,0.8,high,19.771200418472304,1.613499323527035,11.495707134
4,6,6,3,dec,0.0,low,11.806508849064514,6.099508515110747,9.200440219
4,6,6,3,dec,0.2,low,-1.94382905960083,7.182854413986207,1.9788310249999999
5,7,1,1,inc,0.4,low,10.06062388420105,15.911885168817307,12.682149424999999
5,7,1,1,inc,0.0,low,6.327387690544116,24.455191973182878,14.318417302499999
5,7,1,1,inc,0.2,low,27.270145316918672,8.639971514542891,18.732587126
5,7,1,1,inc,0.6,high,19.648972153663678,-0.2688844695135577,10.374250102500001
5,7,1,1,inc,0.8,high,7.212571402390827,-2.6648883880288627,2.6976213199999997
6,5,6,2,dec,0.4,low,3.7114794055620832,3.430130481719955,3.4008859429999996
6,5,6,2,dec,0.6,high,-2.62524591551885,0.03008733469025504,-1.9744034950000007
6,5,6,2,dec,0.8,high,6.671697696050005,5.8909091243037395,6.143746271
6,5,6,2,dec,0.0,low,2.802700996398926,-2.092769013510809,0.5001494980000007
6,5,6,2,dec,0.2,low,3.8737266924646168,0.9708658191892898,2.556733391
7,6,1,1,inc,0.4,low,-1.4015007019042969,-0.010136763254802172,-0.9715195049999998
7,6,1,1,inc,0.0,low,5.932961934142623,6.578031910790339,6.1509095899999995
7,6,1,1,inc,0.2,low,5.868044098218253,4.696763455867737,5.1618522124999995
7,6,1,1,inc,0.6,high,2.949652224779113,5.353044942021389,3.9826047407500003
7,6,1,1,inc,0.8,high,7.985696792602561,0.47133759491968896,4.645981592499999
8,6,2,2,dec,0.4,low,42.63374328613281,21.260066827138267,32.9642548075
8,6,2,2,dec,0.6,high,15.578169872363402,12.327969074249275,14.2855492225
8,6,2,2,dec,0.8,high,15.69792603453006,12.159908355938072,14.090762012499999
8,6,2,2,dec,0.0,low,35.92038691043852,5.193087839417985,22.058699017500004
8,6,2,2,dec,0.2,low,7.1589481830596355,13.998216349217607,10.3731887885
9,6,2,4,inc,0.4,low,6.540725876887655,3.471094667911529,5.136449603000001
9,6,2,4,inc,0.0,low,22.346675429079237,-13.432168072020577,6.6436635200000005
9,6,2,4,inc,0.2,low,13.210238615671793,-3.1842136383056667,6.548152487500001
9,6,2,4,inc,0.6,high,4.60577636957168,10.656913452678282,7.2951706295
9,6,2,4,inc,0.8,high,-1.43898655970892,7.198726054694925,2.056702736249999
10,3,4,1,dec,0.4,low,2.4204410115877977,-2.2185987896389316,0.2527636049999984
10,3,4,1,dec,0.6,high,-3.55027437210083,2.867773175239563,-1.0986603002499988
10,3,4,1,dec,0.8,high,5.476580262184134,-3.1674510240554508,1.5093040774999995
10,3,4,1,dec,0.0,low,2.9600262310769936,9.060071690214993,5.6441534565
10,3,4,1,dec,0.2,low,8.367370764414446,3.473105720347825,6.048739165749999
11,5,6,3,inc,0.4,low,4.423931439717611,3.322650988896687,3.5718809549999992
11,5,6,3,inc,0.0,low,10.310739080111183,20.141304946608003,14.811223887499997
11,5,6,3,inc,0.2,low,9.646537899971008,26.08118705727439,16.871694044999998
11,5,6,3,inc,0.6,high,4.938659171263403,25.91532882716922,14.235682562499997
11,5,6,3,inc,0.8,high,4.802729189395935,17.70564772188664,10.8783964675
12,6,7,5,dec,0.4,low,4.189107517401374,6.266998908034074,4.940898119750002
12,6,7,5,dec,0.6,high,5.005096197128297,2.0862821627546078,3.7538337427500013
12,6,7,5,dec,0.8,high,2.991874151759683,3.8778376248147755,3.36320607875
12,6,7,5,dec,0.0,low,8.727324952681869,0.5576628446579148,4.97815675475
12,6,7,5,dec,0.2,low,3.9658164978027344,-6.718291309144762,-0.6923110079999999
13,7,7,2,inc,0.4,low,5.291592677434275,5.671518047650615,5.1503860965
13,7,7,2,inc,0.0,low,7.729265888532012,3.343887196646788,5.72787259575
13,7,7,2,inc,0.2,low,9.93423561255143,2.745184898376471,6.65542645975
13,7,7,2,inc,0.6,high,10.198843479156494,7.91123628616333,8.991144542499999
13,7,7,2,inc,0.8,high,4.514674743016553,4.401770275500079,4.4644949794999995
14,6,6,2,dec,0.4,low,12.250564098358154,10.513904094696045,11.384312283000002
14,6,6,2,dec,0.6,high,17.028440336386396,7.478848386693893,12.271529997500002
14,6,6,2,dec,0.8,high,2.4991234640280524,6.9810897111892665,4.516248243500001
14,6,6,2,dec,0.0,low,1.669531895054707,0.028727010444368206,0.8254951550000005
14,6,6,2,dec,0.2,low,7.645597855250037,0.027398847871372478,4.259731631499999
15,6,5,4,inc,0.4,low,12.429252713918686,5.314126312732675,9.990061455000001
15,6,5,4,inc,0.0,low,29.012635350227356,26.552438139915466,27.5787406365
15,6,5,4,inc,0.2,low,14.329830408096322,16.384755864187547,15.081419507500001
15,6,5,4,inc,0.6,high,11.543803314367914,6.961554032233021,9.126123532999998
15,6,5,4,inc,0.8,high,2.153048018614455,0.19613057374954757,1.2833069300000002
16,5,1,1,dec,0.4,low,-8.180102606614463,-6.523911654949174,-7.459907469999997
16,5,1,1,dec,0.6,high,12.178132931391396,-9.966367483139042,2.5428519805
16,5,1,1,dec,0.8,high,-5.522928237915039,-7.01209286848704,-6.115271380500001
16,5,1,1,dec,0.0,low,0.4819148778916027,2.6267515205674856,1.5485247422500006
16,5,1,1,dec,0.2,low,8.377673029899588,8.008672650213612,7.9889273125
17,5,5,1,inc,0.4,low,6.184904476006806,5.194718043009416,5.173806837499997
17,5,5,1,inc,0.0,low,20.78931689262388,5.789099931716917,13.830844275
17,5,5,1,inc,0.2,low,14.09881591796875,6.905861695607504,10.0643424725
17,5,5,1,inc,0.6,high,14.70985531806949,9.067520250876774,12.225289609999997
17,5,5,1,inc,0.8,high,15.280558400683933,14.682106447440596,14.779348464999998
18,3,6,1,dec,0.4,low,7.7453029486868115,15.468823923556918,10.324792090000004
18,3,6,1,dec,0.6,high,6.471132834752398,20.82127862506443,12.848975406
18,3,6,1,dec,0.8,high,7.051334381103516,18.498864107661774,12.038811425999999
18,3,6,1,dec,0.0,low,25.169136747717836,50.049676373600974,35.91931642
18,3,6,1,dec,0.2,low,9.502140904466284,23.893090668651826,15.797101184499997
19,6,7,5,inc,0.4,low,6.712266579270359,3.835810058646709,5.2950426235000005
19,6,7,5,inc,0.0,low,15.768548647562636,10.402127918269905,12.974340117250001
19,6,7,5,inc,0.2,low,1.9272335370381584,0.8646022942330998,1.4549529842500002
19,6,7,5,inc,0.6,high,-1.62666037678719,-0.887943506240852,-1.3367187962499996
19,6,7,5,inc,0.8,high,2.6506435871124268,3.936363259951275,3.18612494975
20,6,1,2,dec,0.4,low,-1.6212559739748142,3.7981489300727613,0.7455325500000001
20,6,1,2,dec,0.6,high,12.930188179016113,30.031449000040688,21.645964784
20,6,1,2,dec,0.8,high,-12.383876343568083,22.485126058260583,4.103439797500002
20,6,1,2,dec,0.0,low,-2.2345883647600697,15.583594888448719,5.684604195000002
20,6,1,2,dec,0.2,low,10.870552294784108,22.857423226038634,16.245487389
21,7,6,1,inc,0.4,low,8.934594939152397,2.8594114383061706,6.026120507499999
21,7,6,1,inc,0.0,low,5.89533805847168,7.02904999256134,6.351924693999999
21,7,6,1,inc,0.2,low,-2.1149321893850823,2.2488629238473212,-0.15382019074999853
21,7,6,1,inc,0.6,high,1.1276429560449364,13.21214775244394,6.369751090999999
21,7,6,1,inc,0.8,high,7.174146672089897,4.958628570591959,5.63580971725
22,5,1,1,dec,0.4,low,14.144974897305183,12.176754772663129,13.283609427
22,5,1,1,dec,0.6,high,3.1897359093030166,7.468043102158436,5.412572429999999
22,5,1,1,dec,0.8,high,-6.148944795131696,5.35402140683598,-1.0365153750000005
22,5,1,1,dec,0.0,low,-10.224037170410156,10.842039585113524,-0.3887364974999983
22,5,1,1,dec,0.2,low,0.2908263603846164,7.187086608674794,3.38029098
23,5,5,4,inc,0.4,low,24.27078925900988,16.016686997479862,20.5911123495
23,5,5,4,inc,0.0,low,13.527764181296014,8.637388723867927,10.945191057499999
23,5,5,4,inc,0.2,low,3.085759878158578,12.563052773475645,7.155218357499999
23,5,5,4,inc,0.6,high,7.268682271242143,11.496094763278972,9.089246300000001
23,5,5,4,inc,0.8,high,9.869060516357422,9.517133037249247,9.258514910000002
24,6,1,3,dec,0.4,low,-3.4514757990837177,5.30459702014921,0.4875872035000004
24,6,1,3,dec,0.6,high,9.991781214873027,5.719297627607975,8.09289961925
24,6,1,3,dec,0.8,high,5.153391639391561,5.6506163279215365,5.3367655974999995
24,6,1,3,dec,0.0,low,-10.0044766068459,7.307992585831202,-2.096043588749998
24,6,1,3,dec,0.2,low,1.5459078550338745,7.153260707855223,3.974551823499999
